DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2008,179743.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2009,160831.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2010,166319.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2011,165662.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2012,157022.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2013,150330.5,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2014,152466.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2015,157662.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2016,163266.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2017,170766.5,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2018,170927.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2019,174100.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2020,155929.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2021,164986.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2022,170817.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2023,167793.7,p,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,ES,2024,170966.8,p,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1975,141453.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1976,149636.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1977,156377.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1978,159195.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1979,163461.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1980,164085.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1981,163176.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1982,163511.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1983,166728.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1984,167593.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1985,169594.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1986,169556.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1987,170946.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1988,178790.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1989,186996.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1990,194152.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1991,196969.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1992,198637.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1993,194652.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1994,199508.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1995,208286.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1996,211920.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1997,219520.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1998,231887.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,1999,240848.3,,
